# county,month,lat,lng,deaths,normalized_deaths,cumulative_deaths,normalized_cumulative_deaths
8.200000000000000000e+01,1.120000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,4.000000000000000000e+00,1.741303278438747639e-05,3.340000000000000000e+02,1.536374032627031141e-03
8.200000000000000000e+01,1.130000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,8.000000000000000000e+00,3.482606556877495277e-05,3.420000000000000000e+02,1.571200098195806114e-03
8.200000000000000000e+01,1.140000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,9.000000000000000000e+00,3.917932376487181763e-05,3.510000000000000000e+02,1.610379421960677878e-03
8.200000000000000000e+01,1.150000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,4.000000000000000000e+00,1.741303278438747639e-05,3.550000000000000000e+02,1.627792454745065256e-03
8.200000000000000000e+01,1.160000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,7.000000000000000000e+00,3.047280737267808113e-05,3.620000000000000000e+02,1.658265262117743439e-03
8.200000000000000000e+01,1.170000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,8.000000000000000000e+00,3.482606556877495277e-05,3.700000000000000000e+02,1.693091327686518412e-03
8.200000000000000000e+01,1.180000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,6.000000000000000000e+00,2.611954917658121288e-05,3.760000000000000000e+02,1.719210876863099587e-03
8.200000000000000000e+01,1.190000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,5.000000000000000000e+00,2.176629098048434463e-05,3.810000000000000000e+02,1.740977167843583973e-03
8.200000000000000000e+01,1.200000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,9.000000000000000000e+00,3.869236986466268878e-05,3.900000000000000000e+02,1.779669537708246634e-03
8.200000000000000000e+01,1.210000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,8.000000000000000000e+00,3.439321765747794558e-05,3.980000000000000000e+02,1.814062755365724580e-03
8.200000000000000000e+01,1.220000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,9.000000000000000000e+00,3.869236986466268878e-05,4.070000000000000000e+02,1.852755125230387242e-03
8.200000000000000000e+01,1.230000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,7.000000000000000000e+00,3.009406545029320239e-05,4.140000000000000000e+02,1.882849190680680471e-03
8.200000000000000000e+01,1.240000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,1.000000000000000000e+01,4.299152207184743198e-05,4.240000000000000000e+02,1.925840712752527849e-03
8.200000000000000000e+01,1.250000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,7.000000000000000000e+00,3.009406545029320239e-05,4.310000000000000000e+02,1.955934778202821078e-03
8.200000000000000000e+01,1.260000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,6.000000000000000000e+00,2.579491324310845919e-05,4.370000000000000000e+02,1.981729691445929375e-03
8.200000000000000000e+01,1.270000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,4.000000000000000000e+00,1.719660882873897279e-05,4.410000000000000000e+02,1.998926300274668673e-03
8.200000000000000000e+01,1.280000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,4.000000000000000000e+00,1.719660882873897279e-05,4.450000000000000000e+02,2.016122909103407537e-03
8.200000000000000000e+01,1.290000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,4.000000000000000000e+00,1.719660882873897279e-05,4.490000000000000000e+02,2.033319517932146402e-03
8.200000000000000000e+01,1.300000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,5.000000000000000000e+00,2.149576103592371599e-05,4.540000000000000000e+02,2.054815278968069765e-03
8.200000000000000000e+01,1.310000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,7.000000000000000000e+00,3.009406545029320239e-05,4.610000000000000000e+02,2.084909344418362995e-03
8.200000000000000000e+01,1.320000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,4.000000000000000000e+00,1.692713292454307232e-05,4.650000000000000000e+02,2.101836477342906243e-03
8.200000000000000000e+01,1.330000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,3.000000000000000000e+00,1.269534969340730424e-05,4.680000000000000000e+02,2.114531827036313788e-03
8.200000000000000000e+01,1.340000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,6.000000000000000000e+00,2.539069938681460847e-05,4.740000000000000000e+02,2.139922526423128010e-03
8.200000000000000000e+01,1.350000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,2.000000000000000000e+00,8.463566462271536158e-06,4.760000000000000000e+02,2.148386092885399851e-03
8.200000000000000000e+01,1.360000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,5.000000000000000000e+00,2.115891615567884040e-05,4.810000000000000000e+02,2.169545009041078804e-03
8.200000000000000000e+01,1.370000000000000000e+02,3.942735056000000071e+01,-8.416728623999999570e+01,3.000000000000000000e+00,1.269534969340730424e-05,4.840000000000000000e+02,2.182240358734485915e-03
