,year,county,population,median_income,perc_unemployed,perc_poverty,perc_white,normalized_deaths,deaths,cumulative_deaths,normalized_cumulative_deaths
352,5,1,28406,37259,10.458333333333334,24.099999999999998,97.67654720833626,2.9336525147269354e-05,10,46,0.0016188047662252835
353,5,2,105895,43274,7.658333333333334,16.099999999999998,83.47230747438502,1.4164974739128378e-05,18,69,0.0006507403613270545
354,5,3,53234,48196,7.458333333333332,12.900000000000004,97.0639065259045,7.827077932649559e-06,5,28,0.0005231302361701152
355,5,4,100835,40899,9.083333333333334,18.900000000000002,93.40804284226705,1.8181517660865112e-05,22,105,0.0010356331634808168
356,5,5,64811,35783,6.95,31.0,91.69893999475401,1.28578996363786e-05,10,55,0.0008554665442633576
357,5,6,45906,54010,6.6499999999999995,9.700000000000001,97.67786346011415,1.270712615634848e-05,7,31,0.0006733522014237225
358,5,7,69990,39264,8.2,16.800000000000004,93.84340620088584,1.3097109110825355e-05,11,39,0.0005587111687800207
359,5,8,44604,43050,8.666666666666666,17.800000000000004,97.44193345888264,3.362927091740651e-05,18,87,0.0019560254103498406
360,5,9,369650,55992,6.75,13.300000000000002,86.66441228188829,3.0434194508318683e-05,135,482,0.0013187937289103676
361,5,10,28689,44622,8.566666666666665,15.5,97.6890097249817,8.714141308515458e-06,3,20,0.0006933901539909413
362,5,11,39855,48516,7.308333333333334,12.0,94.66566302847822,1.6727303140551165e-05,8,42,0.0010503678441482623
363,5,12,137763,44029,7.4416666666666655,18.199999999999996,86.34684204031565,2.661575798049307e-05,44,190,0.0013692061316733688
364,5,13,198417,61398,6.666666666666667,9.700000000000001,95.7050051154891,3.27592897785976e-05,78,299,0.001520820097842945
365,5,14,42013,46541,9.041666666666666,17.300000000000004,94.61119177397472,3.967026079229445e-05,20,56,0.001324432159094491
366,5,15,107078,41996,8.608333333333333,17.800000000000004,95.31649825360954,3.5021199499430324e-05,45,164,0.0015204458796236654
367,5,16,36862,39496,8.833333333333332,14.400000000000004,96.76360479626716,1.3564103955292714e-05,6,19,0.0005154815144050548
368,5,17,43348,38421,8.958333333333334,18.199999999999996,96.96410445695302,1.7301836301559473e-05,9,45,0.0010250886176531259
369,5,18,1272533,43653,7.2749999999999995,19.199999999999996,64.1349183086018,2.069363492603597e-05,316,1347,0.0010490647274853683
370,5,19,52666,43465,7.208333333333333,14.599999999999996,97.79933923214217,1.740528361118495e-05,11,46,0.0008731732311480087
371,5,20,38911,48971,8.075000000000001,11.400000000000004,92.52139497828377,1.0708197339227124e-05,5,26,0.0006677668772184698
372,5,21,178139,89016,4.916666666666666,5.6000000000000005,89.63000802743922,7.952591328494416e-06,17,95,0.0005608392572979724
373,5,22,76634,46495,8.8,15.0,87.26022392149697,2.1748397143130552e-05,20,82,0.0010636779173228716
374,5,23,147110,56697,6.266666666666666,11.799999999999999,90.03262864523144,1.0762921170099472e-05,19,101,0.0006987268368338461
375,5,24,28902,40031,7.791666666666667,17.900000000000002,94.470970867068,1.1533227227642838e-05,4,30,0.0010423555183824969
376,5,25,1181824,51456,6.041666666666667,17.699999999999996,69.69227228419798,1.480761940864291e-05,210,1123,0.0009732865764653788
377,5,26,42601,51454,8.15,10.799999999999999,95.31935870049999,1.5649084919759317e-05,8,48,0.0011253940122755144
378,5,27,30859,39447,8.091666666666667,20.300000000000004,94.59476975922746,1.8903183296067054e-05,7,30,0.0009709954747103242
379,5,28,93610,69078,5.758333333333333,7.400000000000001,96.96720435850874,1.335327422283944e-05,15,61,0.0006496848266423001
380,5,29,162588,60093,6.333333333333333,12.799999999999999,86.44303392624305,1.7939003288475573e-05,35,161,0.0010016136273721
381,5,30,39935,39760,8.775,22.599999999999998,95.95592838362337,1.4607069821793749e-05,7,36,0.0008952979527873358
382,5,31,802481,47123,6.466666666666666,18.699999999999996,69.21135827514921,2.6168843872939044e-05,252,922,0.0011396044543014383
383,5,32,75239,48729,6.433333333333333,12.599999999999996,93.81836547535188,7.753071323825852e-06,7,52,0.000695895094244433
384,5,33,31886,42474,7.491666666666667,15.699999999999998,96.25227372514586,2.6134771791172713e-05,10,30,0.0009384796777616368
385,5,34,15766,40343,8.475,16.5,95.88988963592543,2.6428178781343823e-05,5,12,0.0007585482522903276
386,5,35,28164,51105,8.941666666666668,11.200000000000001,95.54395682431472,1.183544004166075e-05,4,14,0.0004937681916662237
387,5,36,43395,40419,9.475,21.199999999999996,96.37515842839038,2.3044129508007835e-05,12,54,0.0012478705893140983
388,5,37,29268,42376,7.866666666666667,16.199999999999996,97.3623069564029,2.2778005557833356e-05,8,34,0.0011632272828403726
389,5,38,42841,49118,4.775,12.400000000000004,98.80021474755493,3.8903542556585205e-06,2,5,0.00011788712459261082
390,5,39,59390,44825,9.624999999999998,14.599999999999996,94.45529550429366,2.3853622944378963e-05,17,51,0.0008543854277728472
391,5,40,33034,37823,9.158333333333335,21.400000000000002,96.90924502028213,3.027184113337773e-05,12,46,0.00138740805201867
392,5,41,68928,38074,9.450000000000001,18.400000000000002,91.7174442896936,2.4179820489012686e-05,20,98,0.0014141647248315083
393,5,42,60925,47053,6.5249999999999995,14.5,96.71235125153878,1.7781425249623853e-05,13,58,0.0009620924336264071
394,5,43,229850,55477,6.616666666666666,9.400000000000002,92.93365238198827,1.740265390472047e-05,48,227,0.000985664695723994
395,5,44,62309,41137,7.533333333333334,20.599999999999998,95.67317722961367,1.6049045884222184e-05,12,57,0.0009117101612702831
396,5,45,167065,54909,6.416666666666667,11.200000000000001,93.19426570496513,1.1472580532527262e-05,23,111,0.0006790550448898492
397,5,46,45678,50077,8.158333333333333,13.199999999999998,95.27343578965805,1.8243647561918938e-05,10,42,0.0009142246792590428
398,5,47,301720,52762,7.808333333333334,14.599999999999996,85.3781651862654,2.5409872287772328e-05,92,279,0.0009261829674477395
399,5,48,439511,40751,8.491666666666667,21.599999999999998,73.90440739822212,1.9718884548206223e-05,104,506,0.001134529932839937
400,5,49,43221,54039,6.133333333333334,12.200000000000001,90.77069017375813,1.735267578260568e-05,9,39,0.0009095942824213698
401,5,50,237033,41076,8.516666666666666,18.0,80.33860264182624,1.9336266820794293e-05,55,251,0.0010474118242504243
402,5,51,66323,42862,7.541666666666667,16.300000000000004,90.30351461785504,2.3873065653443504e-05,19,71,0.0010701764965623914
403,5,52,173252,66720,6.158333333333334,6.599999999999999,95.83900907348833,9.619898567789502e-06,20,120,0.0007003349059625143
404,5,53,23659,40023,10.133333333333333,20.599999999999998,97.5992222832749,2.8178142215083758e-05,8,24,0.0010157071578851015
405,5,54,40811,55110,5.391666666666667,9.400000000000002,97.62318982627232,1.0209665694706493e-05,5,19,0.0004650619194121173
406,5,55,102867,51892,7.099999999999999,10.099999999999998,94.64648526738411,1.3771828347931472e-05,17,88,0.0008609127275859462
407,5,56,14646,41000,9.6,16.699999999999996,98.14966543766216,0.0,0,6,0.0004117894116809174
408,5,57,536433,43103,7.608333333333333,18.800000000000004,74.00066737132128,3.464241262810702e-05,223,834,0.0015527437426911838
409,5,58,15008,36057,9.8,22.800000000000008,93.41684434968018,1.665778251599147e-05,3,11,0.0007330268275931428
410,5,59,34932,49980,7.466666666666666,13.300000000000002,97.58673995190657,1.9084697889232416e-05,8,41,0.0011776039989112132
411,5,60,85872,40399,8.508333333333333,20.599999999999998,92.9418203838271,1.16452394261226e-05,12,51,0.0005944093293265255
412,5,61,14639,42425,10.191666666666665,17.300000000000004,92.15793428512875,1.138511282646811e-05,2,4,0.00027517022805495674
413,5,62,41372,51787,9.683333333333332,10.400000000000002,96.10122788359276,1.611395791034194e-05,8,27,0.0006525107064537701
414,5,63,19441,46921,7.766666666666667,12.299999999999999,95.79239751041611,8.572947207791094e-06,2,13,0.0006650328266084421
415,5,64,36051,41586,9.075,17.800000000000004,97.88355385426202,0.0,0,19,0.0005296152491955255
416,5,65,55949,52666,6.916666666666667,13.599999999999996,94.0999839139216,1.4894517030390774e-05,10,55,0.0009949277692029362
